BA Code,Pressure Mean,Pressure Max,Pressure P95,Critical %,Max Stage,Risk Level,Monitoring Freq,Intervention Threshold
AEP,9.14,13.45,12.78,0.0,3,LOW,daily,70
AES,9.07,16.56,13.03,0.0,3,LOW,daily,70
ALLIANT,9.22,14.68,14.43,0.0,3,LOW,daily,70
AMEREN,9.23,13.14,12.48,0.0,3,LOW,daily,70
BPA,7.92,14.06,12.12,0.0,3,LOW,daily,70
CAISO,24.87,56.07,55.33,0.0,7,MEDIUM,daily,70
CONED,9.43,16.26,13.41,0.0,3,LOW,daily,70
DUK,8.83,13.38,12.97,0.0,3,LOW,daily,70
ERCOT,25.22,57.91,57.62,0.0,7,MEDIUM,daily,70
FIRSTENERGY,8.86,14.94,12.36,0.0,3,LOW,daily,70
MISO,9.4,12.76,12.37,0.0,3,LOW,daily,70
NEISO,9.52,15.39,14.38,0.0,3,LOW,daily,70
NWE,9.38,12.88,12.69,0.0,3,LOW,daily,70
NYIS,41.98,88.45,85.16,20.83,8,HIGH,hourly,50
NYSEG,9.24,13.06,11.71,0.0,3,LOW,daily,70
OGE,8.59,14.9,12.51,0.0,3,LOW,daily,70
PECO,9.46,14.68,13.43,0.0,3,LOW,daily,70
PGE,8.23,11.89,10.52,0.0,3,LOW,daily,70
PJM,8.56,12.58,12.46,0.0,3,LOW,daily,70
PSEG,8.44,13.64,11.09,0.0,3,LOW,daily,70
SCE,16.52,30.64,29.68,0.0,7,MEDIUM,daily,70
SDGE,9.95,13.65,12.49,0.0,3,LOW,daily,70
SERC,9.27,13.76,13.56,0.0,3,LOW,daily,70
SPP,8.88,12.33,11.4,0.0,3,LOW,daily,70
TVA,9.17,11.1,11.08,0.0,3,LOW,daily,70
WECC,42.01,86.54,83.68,16.67,8,HIGH,hourly,50
XCEL,9.31,11.32,11.1,0.0,3,LOW,daily,70
