timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,44.16,73.34,66.78,27.07,71.81,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,7.22,NORMAL,Even: Physically Stable / Consciously Unstable,71.1,True,1.35
2026-04-28 01:00:00,30.91,68.37,68.56,22.54,68.93,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,7.13,NORMAL,Even: Physically Stable / Consciously Unstable,69.7,False,1.35
2026-04-28 02:00:00,42.83,72.1,53.67,20.97,70.36,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,1,5.85,NORMAL,Odd: Physically Unstable / Consciously Stable,63.8,False,1.35
2026-04-28 03:00:00,38.99,67.1,62.48,29.64,62.27,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,9.75,NORMAL,Even: Physically Stable / Consciously Unstable,66.7,True,1.35
2026-04-28 04:00:00,34.65,75.44,60.91,26.23,69.16,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.44,NORMAL,Even: Physically Stable / Consciously Unstable,67.6,True,1.35
2026-04-28 05:00:00,48.38,76.44,61.6,28.51,74.44,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.72,NORMAL,Even: Physically Stable / Consciously Unstable,70.3,True,1.35
2026-04-28 06:00:00,46.41,76.63,62.55,27.32,70.08,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.38,NORMAL,Even: Physically Stable / Consciously Unstable,68.9,True,1.35
2026-04-28 07:00:00,45.49,74.22,59.74,23.46,75.53,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.05,NORMAL,Even: Physically Stable / Consciously Unstable,68.7,False,1.35
2026-04-28 08:00:00,33.43,72.19,55.18,24.6,72.83,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.84,NORMAL,Even: Physically Stable / Consciously Unstable,66.2,False,1.35
2026-04-28 09:00:00,38.48,73.98,61.99,19.73,75.1,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,1,5.13,NORMAL,Odd: Physically Unstable / Consciously Stable,68.5,False,1.35
2026-04-28 10:00:00,42.45,72.77,56.7,31.93,63.01,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,8.69,NORMAL,Even: Physically Stable / Consciously Unstable,65.2,True,1.35
2026-04-28 11:00:00,31.49,71.72,62.74,29.75,71.63,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,8.41,NORMAL,Even: Physically Stable / Consciously Unstable,70.1,True,1.35
2026-04-28 12:00:00,48.52,70.47,59.53,31.41,69.8,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,9.28,NORMAL,Even: Physically Stable / Consciously Unstable,68.6,True,1.35
2026-04-28 13:00:00,29.73,67.65,58.7,38.27,66.15,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,3,12.38,NORMAL,Odd: Physically Unstable / Consciously Stable,68.7,True,1.35
2026-04-28 14:00:00,41.84,69.86,59.8,34.25,65.2,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,3,10.32,NORMAL,Odd: Physically Unstable / Consciously Stable,67.8,True,1.35
2026-04-28 15:00:00,44.62,73.96,56.6,24.42,76.89,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.36,NORMAL,Even: Physically Stable / Consciously Unstable,68.2,False,1.35
2026-04-28 16:00:00,42.04,69.4,61.71,21.44,72.43,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,1,6.56,NORMAL,Odd: Physically Unstable / Consciously Stable,67.9,False,1.35
2026-04-28 17:00:00,36.95,69.13,55.36,27.01,69.2,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,8.34,NORMAL,Even: Physically Stable / Consciously Unstable,65.6,True,1.35
2026-04-28 18:00:00,42.26,75.58,60.27,27.54,69.56,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.73,NORMAL,Even: Physically Stable / Consciously Unstable,67.8,True,1.35
2026-04-28 19:00:00,41.44,64.73,50.59,30.21,66.8,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,10.66,NORMAL,Even: Physically Stable / Consciously Unstable,63.7,True,1.35
2026-04-28 20:00:00,40.54,79.23,54.07,32.04,72.17,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,2,6.65,NORMAL,Even: Physically Stable / Consciously Unstable,67.4,True,1.35
2026-04-28 21:00:00,39.14,74.19,70.33,22.09,77.5,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,1,5.7,NORMAL,Odd: Physically Unstable / Consciously Stable,73.3,False,1.35
2026-04-28 22:00:00,42.45,77.11,68.09,37.16,72.54,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,3,8.51,NORMAL,Odd: Physically Unstable / Consciously Stable,74.4,True,1.35
2026-04-28 23:00:00,37.46,61.65,63.01,36.66,65.34,1,21,BPA,Bonneville Power Administration,western,low_volatility,cascade,3,14.06,NORMAL,Odd: Physically Unstable / Consciously Stable,69.7,True,1.35
