timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,49.48,77.29,42.32,51.76,73.06,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,11.75,NORMAL,Even: Physically Stable / Consciously Unstable,67.1,True,1.35
2026-04-28 01:00:00,74.2,61.41,64.25,86.02,58.76,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,33.2,CAUTION,Odd: Physically Unstable / Consciously Stable,62.3,False,1.35
2026-04-28 02:00:00,74.44,37.17,54.51,84.44,40.32,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,53.05,CAUTION,Odd: Physically Unstable / Consciously Stable,52.3,False,1.0
2026-04-28 03:00:00,51.66,19.78,43.3,50.52,32.82,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,40.53,CAUTION,Even: Physically Stable / Consciously Unstable,53.7,False,1.0
2026-04-28 04:00:00,25.3,35.97,22.75,15.55,39.69,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,9.96,NORMAL,Odd: Physically Unstable / Consciously Stable,39.4,False,1.0
2026-04-28 05:00:00,15.27,67.7,23.94,13.02,54.91,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,4.21,NORMAL,Odd: Physically Unstable / Consciously Stable,44.5,False,1.0
2026-04-28 06:00:00,41.96,79.86,37.55,54.6,72.64,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,11.0,NORMAL,Even: Physically Stable / Consciously Unstable,64.3,False,1.0
2026-04-28 07:00:00,75.96,67.67,57.73,78.95,57.86,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,25.52,NORMAL,Odd: Physically Unstable / Consciously Stable,61.1,False,1.35
2026-04-28 08:00:00,75.09,35.06,57.64,82.52,40.21,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,53.59,CAUTION,Odd: Physically Unstable / Consciously Stable,54.0,False,1.0
2026-04-28 09:00:00,50.08,18.16,34.34,52.04,29.26,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,42.59,CAUTION,Even: Physically Stable / Consciously Unstable,48.5,False,1.0
2026-04-28 10:00:00,21.6,37.22,25.33,14.78,42.06,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,9.28,NORMAL,Odd: Physically Unstable / Consciously Stable,41.0,False,1.0
2026-04-28 11:00:00,22.83,61.8,23.04,17.48,61.4,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,6.68,NORMAL,Odd: Physically Unstable / Consciously Stable,47.6,False,1.0
2026-04-28 12:00:00,46.35,79.81,41.31,47.84,63.12,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,9.66,NORMAL,Even: Physically Stable / Consciously Unstable,63.1,True,1.35
2026-04-28 13:00:00,69.53,64.09,61.63,84.15,59.27,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,30.22,CAUTION,Odd: Physically Unstable / Consciously Stable,61.9,False,1.35
2026-04-28 14:00:00,74.12,32.63,51.89,83.22,37.26,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,56.07,CAUTION,Odd: Physically Unstable / Consciously Stable,50.5,False,1.0
2026-04-28 15:00:00,50.48,22.94,43.04,47.08,28.64,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,36.28,CAUTION,Even: Physically Stable / Consciously Unstable,51.5,False,1.0
2026-04-28 16:00:00,26.04,33.99,22.88,16.72,37.8,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,11.04,NORMAL,Odd: Physically Unstable / Consciously Stable,39.1,False,1.0
2026-04-28 17:00:00,23.07,64.16,17.14,14.98,59.87,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,5.37,NORMAL,Odd: Physically Unstable / Consciously Stable,44.1,False,1.0
2026-04-28 18:00:00,46.1,82.85,40.57,50.13,71.85,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,8.6,NORMAL,Even: Physically Stable / Consciously Unstable,66.3,True,1.35
2026-04-28 19:00:00,77.98,67.92,54.66,79.66,57.02,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,25.55,NORMAL,Odd: Physically Unstable / Consciously Stable,59.4,False,1.35
2026-04-28 20:00:00,78.73,34.87,55.18,85.43,42.38,1,19,CAISO,California ISO,western,high_volatility,oscillation,7,55.64,CAUTION,Odd: Physically Unstable / Consciously Stable,53.0,False,1.0
2026-04-28 21:00:00,46.34,18.26,43.31,47.35,34.29,1,19,CAISO,California ISO,western,high_volatility,oscillation,4,38.7,CAUTION,Even: Physically Stable / Consciously Unstable,53.7,False,1.0
2026-04-28 22:00:00,23.47,32.1,24.36,16.06,39.3,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,10.9,NORMAL,Odd: Physically Unstable / Consciously Stable,40.0,False,1.0
2026-04-28 23:00:00,26.85,60.15,12.92,18.91,59.33,1,19,CAISO,California ISO,western,high_volatility,oscillation,1,7.54,NORMAL,Odd: Physically Unstable / Consciously Stable,43.2,False,1.0
