timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,38.47,70.6,62.14,30.68,66.27,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,9.02,NORMAL,Even: Physically Stable / Consciously Unstable,68.2,True,1.35
2026-04-28 01:00:00,48.37,71.43,67.43,27.66,64.53,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,7.9,NORMAL,Even: Physically Stable / Consciously Unstable,69.0,True,1.35
2026-04-28 02:00:00,47.79,78.11,58.03,19.05,68.69,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,1,4.17,NORMAL,Odd: Physically Unstable / Consciously Stable,64.5,False,1.35
2026-04-28 03:00:00,42.56,65.95,65.83,38.79,73.21,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,13.21,NORMAL,Odd: Physically Unstable / Consciously Stable,74.2,True,1.35
2026-04-28 04:00:00,42.38,71.93,61.24,17.66,72.56,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,1,4.96,NORMAL,Odd: Physically Unstable / Consciously Stable,66.8,False,1.35
2026-04-28 05:00:00,36.96,77.51,56.67,26.59,71.08,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,5.98,NORMAL,Even: Physically Stable / Consciously Unstable,66.7,True,1.35
2026-04-28 06:00:00,34.58,72.1,53.23,33.19,67.87,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,9.26,NORMAL,Even: Physically Stable / Consciously Unstable,65.8,True,1.35
2026-04-28 07:00:00,36.78,72.37,54.08,25.59,68.55,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,7.07,NORMAL,Even: Physically Stable / Consciously Unstable,64.5,True,1.35
2026-04-28 08:00:00,44.05,77.02,56.04,24.02,62.8,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,5.52,NORMAL,Even: Physically Stable / Consciously Unstable,62.9,False,1.35
2026-04-28 09:00:00,36.63,66.91,71.66,40.44,65.67,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,13.38,NORMAL,Odd: Physically Unstable / Consciously Stable,74.3,True,1.35
2026-04-28 10:00:00,40.08,70.84,61.87,32.03,68.62,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,9.34,NORMAL,Even: Physically Stable / Consciously Unstable,69.3,True,1.35
2026-04-28 11:00:00,43.34,66.73,61.77,25.53,70.48,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,8.49,NORMAL,Even: Physically Stable / Consciously Unstable,68.3,True,1.35
2026-04-28 12:00:00,41.39,65.23,61.66,22.9,63.62,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,7.96,NORMAL,Even: Physically Stable / Consciously Unstable,65.2,False,1.35
2026-04-28 13:00:00,42.8,69.91,68.79,34.04,75.74,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,10.24,NORMAL,Odd: Physically Unstable / Consciously Stable,75.0,True,1.35
2026-04-28 14:00:00,37.48,64.63,64.62,31.93,68.25,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,11.29,NORMAL,Even: Physically Stable / Consciously Unstable,70.2,True,1.35
2026-04-28 15:00:00,41.82,63.9,56.63,29.73,76.88,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,10.73,NORMAL,Even: Physically Stable / Consciously Unstable,69.5,True,1.35
2026-04-28 16:00:00,37.27,76.72,51.98,33.56,76.61,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,7.81,NORMAL,Odd: Physically Unstable / Consciously Stable,68.5,True,1.35
2026-04-28 17:00:00,51.67,64.68,64.9,32.84,71.09,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,11.6,NORMAL,Even: Physically Stable / Consciously Unstable,71.6,True,1.35
2026-04-28 18:00:00,38.01,76.47,56.78,34.19,72.49,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,8.04,NORMAL,Odd: Physically Unstable / Consciously Stable,69.1,True,1.35
2026-04-28 19:00:00,37.92,71.26,61.35,36.13,71.29,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,10.38,NORMAL,Odd: Physically Unstable / Consciously Stable,71.0,True,1.35
2026-04-28 20:00:00,36.65,70.1,55.85,26.3,72.53,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,7.86,NORMAL,Even: Physically Stable / Consciously Unstable,66.8,True,1.35
2026-04-28 21:00:00,40.0,69.38,68.48,28.27,76.79,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,8.66,NORMAL,Even: Physically Stable / Consciously Unstable,73.8,True,1.35
2026-04-28 22:00:00,35.79,69.2,62.03,28.33,71.31,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,2,8.73,NORMAL,Even: Physically Stable / Consciously Unstable,69.4,True,1.35
2026-04-28 23:00:00,49.98,69.97,65.66,34.24,76.59,1,21,DUK,Duke Energy,eastern,low_volatility,brittleness,3,10.28,NORMAL,Odd: Physically Unstable / Consciously Stable,74.1,True,1.35
