timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,47.82,85.03,39.12,52.21,71.99,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,4,7.82,NORMAL,Even: Physically Stable / Consciously Unstable,65.3,False,1.0
2026-04-28 01:00:00,75.31,66.83,57.98,85.01,57.05,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,7,28.2,NORMAL,Odd: Physically Unstable / Consciously Stable,59.4,False,1.35
2026-04-28 02:00:00,72.66,34.69,66.26,86.22,38.5,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,7,56.31,CAUTION,Odd: Physically Unstable / Consciously Stable,55.9,False,1.35
2026-04-28 03:00:00,48.04,17.22,35.62,46.13,28.41,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,4,38.19,CAUTION,Even: Physically Stable / Consciously Unstable,48.2,False,1.0
2026-04-28 04:00:00,25.38,39.04,19.17,17.55,42.65,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,1,10.7,NORMAL,Odd: Physically Unstable / Consciously Stable,39.5,False,1.0
2026-04-28 05:00:00,22.68,63.43,22.34,17.88,64.91,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,1,6.54,NORMAL,Odd: Physically Unstable / Consciously Stable,48.6,False,1.0
2026-04-28 06:00:00,52.76,76.67,35.94,53.94,70.42,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,4,12.58,NORMAL,Even: Physically Stable / Consciously Unstable,63.0,False,1.0
2026-04-28 07:00:00,75.34,74.71,52.5,86.97,63.36,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,7,21.99,NORMAL,Odd: Physically Unstable / Consciously Stable,58.9,False,1.0
2026-04-28 08:00:00,71.85,33.67,60.13,87.22,38.59,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,7,57.85,CAUTION,Odd: Physically Unstable / Consciously Stable,53.3,False,1.0
2026-04-28 09:00:00,53.86,20.42,39.99,49.36,27.17,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,4,39.28,CAUTION,Even: Physically Stable / Consciously Unstable,50.3,False,1.0
2026-04-28 10:00:00,26.63,34.24,20.44,14.94,43.32,0,12,ERCOT,Electric Reliability Council of Texas,texas,high_volatility,oscillation,1,9.82,NORMAL,Odd: Physically Unstable / Consciously Stable,39.6,False,1.0
