timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,33.36,68.68,66.9,35.18,75.39,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,11.02,NORMAL,Odd: Physically Unstable / Consciously Stable,74.4,True,1.35
2026-04-28 01:00:00,39.85,69.29,52.96,28.52,66.22,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.76,NORMAL,Even: Physically Stable / Consciously Unstable,64.0,True,1.35
2026-04-28 02:00:00,40.62,69.9,57.32,24.73,58.0,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,7.44,NORMAL,Even: Physically Stable / Consciously Unstable,61.9,False,1.35
2026-04-28 03:00:00,41.55,70.03,60.87,29.85,67.48,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.95,NORMAL,Even: Physically Stable / Consciously Unstable,67.9,True,1.35
2026-04-28 04:00:00,30.56,68.21,64.88,40.15,65.91,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,12.76,NORMAL,Odd: Physically Unstable / Consciously Stable,71.6,True,1.35
2026-04-28 05:00:00,32.8,75.11,61.77,29.46,63.77,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,7.33,NORMAL,Even: Physically Stable / Consciously Unstable,66.9,True,1.35
2026-04-28 06:00:00,39.13,62.67,53.16,30.88,69.79,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,11.53,NORMAL,Even: Physically Stable / Consciously Unstable,65.9,True,1.35
2026-04-28 07:00:00,34.5,70.99,59.82,36.82,66.66,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,10.68,NORMAL,Odd: Physically Unstable / Consciously Stable,69.0,True,1.35
2026-04-28 08:00:00,42.13,67.17,60.4,25.84,79.07,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.48,NORMAL,Even: Physically Stable / Consciously Unstable,70.8,True,1.35
2026-04-28 09:00:00,44.65,77.17,62.84,29.8,68.38,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,6.8,NORMAL,Even: Physically Stable / Consciously Unstable,69.0,True,1.35
2026-04-28 10:00:00,47.28,65.56,63.51,29.56,76.39,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,10.18,NORMAL,Even: Physically Stable / Consciously Unstable,72.0,True,1.35
2026-04-28 11:00:00,49.76,66.78,51.07,32.15,66.39,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,10.68,NORMAL,Even: Physically Stable / Consciously Unstable,64.2,True,1.35
2026-04-28 12:00:00,37.66,76.84,51.38,32.82,64.32,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,7.6,NORMAL,Even: Physically Stable / Consciously Unstable,63.8,True,1.35
2026-04-28 13:00:00,35.8,70.56,63.49,30.37,67.62,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.94,NORMAL,Even: Physically Stable / Consciously Unstable,69.2,True,1.35
2026-04-28 14:00:00,36.58,67.68,60.66,27.53,66.4,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.9,NORMAL,Even: Physically Stable / Consciously Unstable,66.9,True,1.35
2026-04-28 15:00:00,40.33,72.6,66.12,27.7,73.3,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,7.59,NORMAL,Even: Physically Stable / Consciously Unstable,71.5,True,1.35
2026-04-28 16:00:00,42.32,70.4,63.38,35.83,73.11,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,10.61,NORMAL,Odd: Physically Unstable / Consciously Stable,72.4,True,1.35
2026-04-28 17:00:00,35.48,65.98,66.77,32.41,69.03,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,11.03,NORMAL,Even: Physically Stable / Consciously Unstable,71.5,True,1.35
2026-04-28 18:00:00,47.52,63.59,63.53,23.32,69.32,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,8.49,NORMAL,Even: Physically Stable / Consciously Unstable,68.0,False,1.35
2026-04-28 19:00:00,42.12,76.13,65.75,27.35,68.02,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,6.53,NORMAL,Even: Physically Stable / Consciously Unstable,69.4,True,1.35
2026-04-28 20:00:00,45.3,63.91,67.39,24.94,75.28,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,9.0,NORMAL,Even: Physically Stable / Consciously Unstable,72.0,False,1.35
2026-04-28 21:00:00,39.43,75.45,61.01,35.51,75.42,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,8.72,NORMAL,Odd: Physically Unstable / Consciously Stable,72.2,True,1.35
2026-04-28 22:00:00,52.06,70.66,61.37,38.08,74.06,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,3,11.17,NORMAL,Odd: Physically Unstable / Consciously Stable,72.5,True,1.35
2026-04-28 23:00:00,40.96,57.53,55.86,29.48,67.07,2,22,MISO,Midcontinent ISO,eastern,medium_volatility,brittleness,2,12.52,NORMAL,Even: Physically Stable / Consciously Unstable,65.7,True,1.35
