timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,38.13,71.73,64.31,23.11,76.23,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.53,NORMAL,Even: Physically Stable / Consciously Unstable,70.7,False,1.35
2026-04-28 01:00:00,42.95,65.13,64.35,29.16,72.74,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,10.17,NORMAL,Even: Physically Stable / Consciously Unstable,71.0,True,1.35
2026-04-28 02:00:00,35.77,76.07,55.13,23.87,65.28,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,5.71,NORMAL,Even: Physically Stable / Consciously Unstable,63.4,False,1.35
2026-04-28 03:00:00,46.99,71.27,63.44,27.69,73.24,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,7.96,NORMAL,Even: Physically Stable / Consciously Unstable,70.4,True,1.35
2026-04-28 04:00:00,41.63,62.66,66.85,25.78,74.2,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,9.63,NORMAL,Even: Physically Stable / Consciously Unstable,71.7,True,1.35
2026-04-28 05:00:00,46.47,67.63,61.77,32.01,64.4,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,10.36,NORMAL,Even: Physically Stable / Consciously Unstable,67.8,True,1.35
2026-04-28 06:00:00,38.44,58.72,55.75,23.62,69.16,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,9.75,NORMAL,Even: Physically Stable / Consciously Unstable,64.9,False,1.35
2026-04-28 07:00:00,37.72,72.82,53.25,25.59,73.18,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.96,NORMAL,Even: Physically Stable / Consciously Unstable,65.8,True,1.35
2026-04-28 08:00:00,31.89,71.29,52.84,22.4,64.75,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.43,NORMAL,Even: Physically Stable / Consciously Unstable,61.9,False,1.35
2026-04-28 09:00:00,36.2,76.52,70.21,27.56,64.03,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.47,NORMAL,Even: Physically Stable / Consciously Unstable,69.9,True,1.35
2026-04-28 10:00:00,43.19,64.6,60.4,28.9,78.32,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,10.23,NORMAL,Even: Physically Stable / Consciously Unstable,71.3,True,1.35
2026-04-28 11:00:00,33.25,65.88,68.75,37.17,69.67,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,3,12.68,NORMAL,Odd: Physically Unstable / Consciously Stable,73.7,True,1.35
2026-04-28 12:00:00,39.13,67.22,63.09,28.28,68.96,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,9.27,NORMAL,Even: Physically Stable / Consciously Unstable,68.9,True,1.35
2026-04-28 13:00:00,41.16,68.36,60.19,34.75,79.33,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,3,10.99,NORMAL,Odd: Physically Unstable / Consciously Stable,73.0,True,1.35
2026-04-28 14:00:00,35.93,72.1,53.94,23.93,64.04,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.68,NORMAL,Even: Physically Stable / Consciously Unstable,62.5,False,1.35
2026-04-28 15:00:00,47.49,69.64,61.85,27.71,82.08,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,8.41,NORMAL,Even: Physically Stable / Consciously Unstable,72.9,True,1.35
2026-04-28 16:00:00,40.81,72.09,54.25,24.15,73.19,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,6.74,NORMAL,Even: Physically Stable / Consciously Unstable,65.9,False,1.35
2026-04-28 17:00:00,33.42,56.86,63.6,34.55,78.69,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,3,14.9,NORMAL,Odd: Physically Unstable / Consciously Stable,74.1,True,1.35
2026-04-28 18:00:00,38.21,73.41,59.98,27.32,72.14,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,7.26,NORMAL,Even: Physically Stable / Consciously Unstable,68.6,True,1.35
2026-04-28 19:00:00,43.6,68.46,52.41,26.41,64.04,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,8.33,NORMAL,Even: Physically Stable / Consciously Unstable,62.5,True,1.35
2026-04-28 20:00:00,41.79,75.67,63.47,30.83,69.34,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,7.5,NORMAL,Even: Physically Stable / Consciously Unstable,69.9,True,1.35
2026-04-28 21:00:00,40.6,71.36,62.87,40.36,71.02,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,3,11.56,NORMAL,Odd: Physically Unstable / Consciously Stable,72.6,True,1.35
2026-04-28 22:00:00,42.83,78.4,55.34,26.59,69.19,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,5.74,NORMAL,Even: Physically Stable / Consciously Unstable,65.5,True,1.35
2026-04-28 23:00:00,41.02,76.59,63.65,25.26,70.99,2,23,OGE,Oklahoma Gas & Electric,central,low_volatility,cascade,2,5.91,NORMAL,Even: Physically Stable / Consciously Unstable,69.1,True,1.35
