timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,37.64,77.47,63.11,16.42,69.42,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,1,3.7,NORMAL,Odd: Physically Unstable / Consciously Stable,66.1,False,1.35
2026-04-28 01:00:00,42.87,71.52,51.2,37.15,72.4,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,3,10.58,NORMAL,Odd: Physically Unstable / Consciously Stable,67.6,True,1.35
2026-04-28 02:00:00,40.31,58.09,62.58,28.37,74.54,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,11.89,NORMAL,Even: Physically Stable / Consciously Unstable,70.7,True,1.35
2026-04-28 03:00:00,45.04,66.95,66.63,24.22,65.51,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,8.0,NORMAL,Even: Physically Stable / Consciously Unstable,68.1,False,1.35
2026-04-28 04:00:00,38.08,67.24,67.95,29.23,69.92,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,9.58,NORMAL,Even: Physically Stable / Consciously Unstable,71.5,True,1.35
2026-04-28 05:00:00,39.76,79.36,61.42,27.5,60.29,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,5.68,NORMAL,Even: Physically Stable / Consciously Unstable,65.0,True,1.35
2026-04-28 06:00:00,32.32,78.53,60.97,23.58,77.36,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,5.06,NORMAL,Even: Physically Stable / Consciously Unstable,69.9,False,1.35
2026-04-28 07:00:00,29.51,67.95,61.89,28.08,70.54,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,9.0,NORMAL,Even: Physically Stable / Consciously Unstable,69.0,True,1.35
2026-04-28 08:00:00,48.38,76.4,63.83,31.97,70.06,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,7.54,NORMAL,Even: Physically Stable / Consciously Unstable,70.5,True,1.35
2026-04-28 09:00:00,44.95,70.98,63.77,24.57,77.55,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,7.13,NORMAL,Even: Physically Stable / Consciously Unstable,71.3,False,1.35
2026-04-28 10:00:00,43.54,66.81,63.9,27.99,61.73,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,9.29,NORMAL,Even: Physically Stable / Consciously Unstable,66.7,True,1.35
2026-04-28 11:00:00,40.58,71.57,59.03,24.22,74.39,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,6.89,NORMAL,Even: Physically Stable / Consciously Unstable,68.2,False,1.35
2026-04-28 12:00:00,35.44,71.76,61.41,31.55,75.26,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,8.91,NORMAL,Even: Physically Stable / Consciously Unstable,71.3,True,1.35
2026-04-28 13:00:00,43.67,72.11,59.34,32.74,78.17,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,9.13,NORMAL,Even: Physically Stable / Consciously Unstable,71.8,True,1.35
2026-04-28 14:00:00,32.16,73.55,63.93,28.69,68.37,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,7.59,NORMAL,Even: Physically Stable / Consciously Unstable,69.2,True,1.35
2026-04-28 15:00:00,38.88,71.35,57.86,29.7,74.12,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,8.51,NORMAL,Even: Physically Stable / Consciously Unstable,69.0,True,1.35
2026-04-28 16:00:00,42.24,67.5,57.27,31.23,73.59,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,10.15,NORMAL,Even: Physically Stable / Consciously Unstable,69.0,True,1.35
2026-04-28 17:00:00,46.72,75.86,62.48,35.69,69.38,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,3,8.62,NORMAL,Odd: Physically Unstable / Consciously Stable,70.7,True,1.35
2026-04-28 18:00:00,44.01,76.39,61.41,30.13,69.08,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,7.11,NORMAL,Even: Physically Stable / Consciously Unstable,68.8,True,1.35
2026-04-28 19:00:00,38.66,68.49,61.44,26.26,72.09,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,8.27,NORMAL,Even: Physically Stable / Consciously Unstable,68.9,True,1.35
2026-04-28 20:00:00,37.53,73.71,60.77,25.85,69.41,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,6.8,NORMAL,Even: Physically Stable / Consciously Unstable,67.6,True,1.35
2026-04-28 21:00:00,39.95,69.43,60.7,32.7,71.12,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,10.0,NORMAL,Even: Physically Stable / Consciously Unstable,69.8,True,1.35
2026-04-28 22:00:00,43.7,70.77,64.54,31.06,61.9,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,9.08,NORMAL,Even: Physically Stable / Consciously Unstable,67.7,True,1.35
2026-04-28 23:00:00,45.04,63.87,63.41,24.72,73.2,1,23,PGE,Portland General Electric,western,low_volatility,oscillation,2,8.93,NORMAL,Even: Physically Stable / Consciously Unstable,69.7,False,1.35
