timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,41.01,67.95,61.87,32.85,63.04,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,10.53,NORMAL,Even: Physically Stable / Consciously Unstable,67.5,True,1.35
2026-04-28 01:00:00,46.02,67.97,61.06,35.76,67.32,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,3,11.45,NORMAL,Odd: Physically Unstable / Consciously Stable,69.4,True,1.35
2026-04-28 02:00:00,37.5,70.56,60.34,28.68,65.21,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.44,NORMAL,Even: Physically Stable / Consciously Unstable,66.6,True,1.35
2026-04-28 03:00:00,33.38,72.46,68.94,34.54,75.26,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,3,9.51,NORMAL,Odd: Physically Unstable / Consciously Stable,75.1,True,1.35
2026-04-28 04:00:00,43.74,71.02,61.61,26.07,75.79,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,7.56,NORMAL,Even: Physically Stable / Consciously Unstable,70.2,True,1.35
2026-04-28 05:00:00,37.42,76.16,68.76,29.64,60.05,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,7.07,NORMAL,Even: Physically Stable / Consciously Unstable,68.4,True,1.35
2026-04-28 06:00:00,36.83,67.13,61.07,25.65,72.41,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.43,NORMAL,Even: Physically Stable / Consciously Unstable,68.7,True,1.35
2026-04-28 07:00:00,44.07,73.81,65.52,26.42,66.13,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,6.92,NORMAL,Even: Physically Stable / Consciously Unstable,68.5,True,1.35
2026-04-28 08:00:00,32.31,73.21,59.73,27.89,68.06,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,7.47,NORMAL,Even: Physically Stable / Consciously Unstable,67.2,True,1.35
2026-04-28 09:00:00,40.59,63.56,63.58,29.02,73.5,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,10.57,NORMAL,Even: Physically Stable / Consciously Unstable,70.9,True,1.35
2026-04-28 10:00:00,37.53,70.4,65.66,29.6,78.88,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.76,NORMAL,Even: Physically Stable / Consciously Unstable,73.8,True,1.35
2026-04-28 11:00:00,50.68,71.46,63.46,32.7,68.23,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,9.33,NORMAL,Even: Physically Stable / Consciously Unstable,69.9,True,1.35
2026-04-28 12:00:00,30.47,73.66,58.94,30.92,61.12,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.14,NORMAL,Even: Physically Stable / Consciously Unstable,65.2,True,1.35
2026-04-28 13:00:00,44.06,68.69,53.36,29.47,60.93,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,9.23,NORMAL,Even: Physically Stable / Consciously Unstable,62.5,True,1.35
2026-04-28 14:00:00,39.52,67.62,64.77,34.43,64.11,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,3,11.15,NORMAL,Odd: Physically Unstable / Consciously Stable,69.5,True,1.35
2026-04-28 15:00:00,34.0,72.57,61.46,29.53,64.58,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.1,NORMAL,Even: Physically Stable / Consciously Unstable,67.1,True,1.35
2026-04-28 16:00:00,39.08,74.61,67.02,31.01,74.92,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,7.87,NORMAL,Even: Physically Stable / Consciously Unstable,73.3,True,1.35
2026-04-28 17:00:00,45.07,62.6,66.27,27.87,70.59,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,10.42,NORMAL,Even: Physically Stable / Consciously Unstable,70.7,True,1.35
2026-04-28 18:00:00,40.14,67.99,54.02,25.43,66.61,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.14,NORMAL,Even: Physically Stable / Consciously Unstable,63.8,True,1.35
2026-04-28 19:00:00,38.66,61.65,55.68,32.14,71.25,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,12.33,NORMAL,Even: Physically Stable / Consciously Unstable,67.7,True,1.35
2026-04-28 20:00:00,46.71,79.13,63.12,28.04,68.77,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,5.85,NORMAL,Even: Physically Stable / Consciously Unstable,68.8,True,1.35
2026-04-28 21:00:00,40.23,68.32,50.36,24.46,70.59,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,7.75,NORMAL,Even: Physically Stable / Consciously Unstable,63.5,False,1.35
2026-04-28 22:00:00,43.74,68.8,64.53,26.39,71.74,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,8.23,NORMAL,Even: Physically Stable / Consciously Unstable,70.0,True,1.35
2026-04-28 23:00:00,47.15,67.21,55.12,30.05,66.23,2,23,SPP,Southwest Power Pool,western,medium_volatility,brittleness,2,9.85,NORMAL,Even: Physically Stable / Consciously Unstable,65.2,True,1.35
