timestamp,complexity,stability,adaptability,tension,coherence,event_min_stage,lead_time_hours,ba_code,ba_name,region,volatility,event_type,sap_stage,pressure_score,decision_signal,inversion_state,witness_score,perpendicular_axis_visible,observer_effect_multiplier
2026-04-28 00:00:00,35.61,70.22,59.47,36.5,66.47,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,10.87,NORMAL,Odd: Physically Unstable / Consciously Stable,68.7,True,1.35
2026-04-28 01:00:00,39.84,66.48,57.33,31.02,69.19,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,2,10.4,NORMAL,Even: Physically Stable / Consciously Unstable,67.4,True,1.35
2026-04-28 02:00:00,45.97,64.84,56.01,34.64,60.01,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,12.18,NORMAL,Odd: Physically Unstable / Consciously Stable,64.6,True,1.35
2026-04-28 03:00:00,46.99,62.12,50.55,40.65,63.92,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,15.4,NORMAL,Odd: Physically Unstable / Consciously Stable,65.3,True,1.35
2026-04-28 04:00:00,49.73,65.41,48.27,44.04,58.73,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,15.23,NORMAL,Odd: Physically Unstable / Consciously Stable,63.4,True,1.35
2026-04-28 05:00:00,48.91,58.96,54.09,43.77,60.67,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,17.96,NORMAL,Odd: Physically Unstable / Consciously Stable,66.3,True,1.35
2026-04-28 06:00:00,57.8,53.04,48.76,43.35,55.74,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,3,20.36,NORMAL,Odd: Physically Unstable / Consciously Stable,62.4,True,1.35
2026-04-28 07:00:00,50.73,55.41,54.01,52.57,56.03,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,4,23.44,NORMAL,Even: Physically Stable / Consciously Unstable,65.6,True,1.35
2026-04-28 08:00:00,54.77,45.1,45.81,54.77,51.39,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,4,30.07,CAUTION,Even: Physically Stable / Consciously Unstable,60.1,True,1.35
2026-04-28 09:00:00,56.33,44.72,43.45,54.26,49.09,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,4,29.99,NORMAL,Even: Physically Stable / Consciously Unstable,58.5,True,1.35
2026-04-28 10:00:00,63.27,45.16,41.67,58.8,45.98,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,5,32.25,CAUTION,Odd: Physically Unstable / Consciously Stable,55.6,True,1.35
2026-04-28 11:00:00,60.2,40.59,39.83,59.31,47.29,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,5,35.24,CAUTION,Odd: Physically Unstable / Consciously Stable,55.2,False,1.0
2026-04-28 12:00:00,72.63,34.82,41.27,67.7,44.24,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,6,44.13,CAUTION,Even: Physically Stable / Consciously Unstable,52.6,False,1.0
2026-04-28 13:00:00,71.74,39.11,35.16,65.67,40.96,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,5,39.99,CAUTION,Odd: Physically Unstable / Consciously Stable,49.5,False,1.0
2026-04-28 14:00:00,71.47,31.69,29.94,72.73,41.6,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,6,49.68,CAUTION,Even: Physically Stable / Consciously Unstable,45.9,False,1.0
2026-04-28 15:00:00,73.33,30.25,28.18,77.44,42.57,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,6,54.01,WARNING,Even: Physically Stable / Consciously Unstable,44.3,False,1.0
2026-04-28 16:00:00,70.63,26.44,30.3,76.34,39.65,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,6,56.16,WARNING,Even: Physically Stable / Consciously Unstable,44.4,False,1.0
2026-04-28 17:00:00,84.25,22.64,27.24,81.82,37.7,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,7,63.3,WARNING,Odd: Physically Unstable / Consciously Stable,41.1,False,1.0
2026-04-28 18:00:00,81.36,22.51,25.65,83.28,30.83,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,7,64.53,WARNING,Odd: Physically Unstable / Consciously Stable,37.7,False,1.0
2026-04-28 19:00:00,86.82,23.79,21.7,86.27,29.7,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,7,65.75,WARNING,Odd: Physically Unstable / Consciously Stable,35.0,False,1.0
2026-04-28 20:00:00,85.8,15.27,19.43,86.08,34.0,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,7,72.94,CRITICAL,Odd: Physically Unstable / Consciously Stable,35.7,False,1.0
2026-04-28 21:00:00,84.85,18.26,18.15,88.24,27.3,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,7,72.13,CRITICAL,Odd: Physically Unstable / Consciously Stable,32.3,False,1.0
2026-04-28 22:00:00,86.64,9.73,17.24,94.79,23.95,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,8,85.57,CRITICAL,Even: Physically Stable / Consciously Unstable,29.1,False,1.0
2026-04-28 23:00:00,91.61,9.48,17.56,95.6,18.98,2,22,WECC,Western Electricity Coordinating Council,western,high_volatility,cascade,8,86.54,CRITICAL,Even: Physically Stable / Consciously Unstable,27.3,False,1.0
